Item number	Sts	Itp	Name	Atp30	Customs no	Specification 3	Pur price	Suppl	Alias number	Ch dt	Resp	F 4	Nt wt	Sp5	Fld heading 11
112327-L30-W24	20	100	Loose Leif Crispy Faded	100%CO	6203423100	MID: ITBULINS2URB	25,60	10031	7311131702606	251028	NORAQDQV01	171	0,850	TR	NJ/WT02
112327-L30-W25	20	100	Loose Leif Crispy Faded	100%CO	6203423100	MID: ITBULINS2URB	25,60	10031	7311131702644	251028	NORAQDQV01	171	0,850	TR	NJ/WT02
112327-L30-W26	20	100	Loose Leif Crispy Faded	100%CO	6203423100	MID: ITBULINS2URB	25,60	10031	7311131702682	251028	NORAQDQV01	171	0,850	TR	NJ/WT02
112327-L30-W27	20	100	Loose Leif Crispy Faded	100%CO	6203423100	MID: ITBULINS2URB	25,60	10031	7311131702729	251028	NORAQDQV01	171	0,850	TR	NJ/WT02
112327-L30-W28	20	100	Loose Leif Crispy Faded	100%CO	6203423100	MID: ITBULINS2URB	25,60	10031	7311131702767	251028	NORAQDQV01	171	0,850	TR	NJ/WT02
112327-L30-W30	20	100	Loose Leif Crispy Faded	100%CO	6203423100	MID: ITBULINS2URB	25,60	10031	7311131702804	251028	NORAQDQV01	171	0,850	TR	NJ/WT02
112327-L30-W31	20	100	Loose Leif Crispy Faded	100%CO	6203423100	MID: ITBULINS2URB	25,60	10031	7311131702850	251028	NORAQDQV01	171	0,850	TR	NJ/WT02
112327-L30-W32	20	100	Loose Leif Crispy Faded	100%CO	6203423100	MID: ITBULINS2URB	25,60	10031	7311131702927	251028	NORAQDQV01	171	0,850	TR	NJ/WT02
112327-L30-W33	20	100	Loose Leif Crispy Faded	100%CO	6203423100	MID: ITBULINS2URB	25,60	10031	7311131702965	251028	NORAQDQV01	171	0,850	TR	NJ/WT02
112327-L30-W34	20	100	Loose Leif Crispy Faded	100%CO	6203423100	MID: ITBULINS2URB	25,60	10031	7311131703009	251028	NORAQDQV01	171	0,850	TR	NJ/WT02
112327-L30-W36	20	100	Loose Leif Crispy Faded	100%CO	6203423100	MID: ITBULINS2URB	25,60	10031	7311131703047	251028	NORAQDQV01	171	0,850	TR	NJ/WT02
112327-L30-W38	20	100	Loose Leif Crispy Faded	100%CO	6203423100	MID: ITBULINS2URB	25,60	10031	7311131703085	251028	NORAQDQV01	171	0,850	TR	NJ/WT02
112327-L32-W24	20	100	Loose Leif Crispy Faded	100%CO	6203423100	MID: ITBULINS2URB	25,60	10031	7311131702613	251028	NORAQDQV01	171	0,850	TR	NJ/WT02
112327-L32-W25	20	100	Loose Leif Crispy Faded	100%CO	6203423100	MID: ITBULINS2URB	25,60	10031	7311131702651	251028	NORAQDQV01	171	0,850	TR	NJ/WT02
112327-L32-W26	20	100	Loose Leif Crispy Faded	100%CO	6203423100	MID: ITBULINS2URB	25,60	10031	7311131702699	251028	NORAQDQV01	171	0,850	TR	NJ/WT02
112327-L32-W27	20	100	Loose Leif Crispy Faded	100%CO	6203423100	MID: ITBULINS2URB	25,60	10031	7311131702736	251028	NORAQDQV01	171	0,850	TR	NJ/WT02
112327-L32-W28	20	100	Loose Leif Crispy Faded	100%CO	6203423100	MID: ITBULINS2URB	25,60	10031	7311131702774	251028	NORAQDQV01	171	0,850	TR	NJ/WT02
112327-L32-W30	20	100	Loose Leif Crispy Faded	100%CO	6203423100	MID: ITBULINS2URB	25,60	10031	7311131702859	251028	NORAQDQV01	171	0,850	TR	NJ/WT02
112327-L32-W31	20	100	Loose Leif Crispy Faded	100%CO	6203423100	MID: ITBULINS2URB	25,60	10031	7311131702897	251028	NORAQDQV01	171	0,850	TR	NJ/WT02
112327-L32-W32	20	100	Loose Leif Crispy Faded	100%CO	6203423100	MID: ITBULINS2URB	25,60	10031	7311131702934	251028	NORAQDQV01	171	0,850	TR	NJ/WT02
112327-L32-W33	20	100	Loose Leif Crispy Faded	100%CO	6203423100	MID: ITBULINS2URB	25,60	10031	7311131702972	251028	NORAQDQV01	171	0,850	TR	NJ/WT02
112327-L32-W34	20	100	Loose Leif Crispy Faded	100%CO	6203423100	MID: ITBULINS2URB	25,60	10031	7311131703016	251028	NORAQDQV01	171	0,850	TR	NJ/WT02
112327-L32-W36	20	100	Loose Leif Crispy Faded	100%CO	6203423100	MID: ITBULINS2URB	25,60	10031	7311131703054	251028	NORAQDQV01	171	0,850	TR	NJ/WT02
112327-L32-W38	20	100	Loose Leif Crispy Faded	100%CO	6203423100	MID: ITBULINS2URB	25,60	10031	7311131703092	251028	NORAQDQV01	171	0,850	TR	NJ/WT02
