style_number,product_name,batch_id,item_number,gtin,notes
112327,"Loose Leif Crispy Faded",TUN-2024-Q1-001,112327-L30-W24,07311131702606,"Item: 112327-L30-W24 | Supplier: 10031"
112327,"Loose Leif Crispy Faded",TUN-2024-Q1-001,112327-L30-W25,07311131702644,"Item: 112327-L30-W25 | Supplier: 10031"
112327,"Loose Leif Crispy Faded",TUN-2024-Q1-001,112327-L30-W26,07311131702682,"Item: 112327-L30-W26 | Supplier: 10031"
112327,"Loose Leif Crispy Faded",TUN-2024-Q1-001,112327-L30-W27,07311131702729,"Item: 112327-L30-W27 | Supplier: 10031"
112327,"Loose Leif Crispy Faded",TUN-2024-Q1-001,112327-L30-W28,07311131702767,"Item: 112327-L30-W28 | Supplier: 10031"
112327,"Loose Leif Crispy Faded",TUN-2024-Q1-001,112327-L30-W30,07311131702804,"Item: 112327-L30-W30 | Supplier: 10031"
112327,"Loose Leif Crispy Faded",TUN-2024-Q1-001,112327-L30-W31,07311131702850,"Item: 112327-L30-W31 | Supplier: 10031"
112327,"Loose Leif Crispy Faded",TUN-2024-Q1-001,112327-L30-W32,07311131702927,"Item: 112327-L30-W32 | Supplier: 10031"
112327,"Loose Leif Crispy Faded",TUN-2024-Q1-001,112327-L30-W33,07311131702965,"Item: 112327-L30-W33 | Supplier: 10031"
112327,"Loose Leif Crispy Faded",TUN-2024-Q1-001,112327-L30-W34,07311131703009,"Item: 112327-L30-W34 | Supplier: 10031"
112327,"Loose Leif Crispy Faded",TUN-2024-Q1-001,112327-L30-W36,07311131703047,"Item: 112327-L30-W36 | Supplier: 10031"
112327,"Loose Leif Crispy Faded",TUN-2024-Q1-001,112327-L30-W38,07311131703085,"Item: 112327-L30-W38 | Supplier: 10031"
112327,"Loose Leif Crispy Faded",TUN-2024-Q1-001,112327-L32-W24,07311131702613,"Item: 112327-L32-W24 | Supplier: 10031"
112327,"Loose Leif Crispy Faded",TUN-2024-Q1-001,112327-L32-W25,07311131702651,"Item: 112327-L32-W25 | Supplier: 10031"
112327,"Loose Leif Crispy Faded",TUN-2024-Q1-001,112327-L32-W26,07311131702699,"Item: 112327-L32-W26 | Supplier: 10031"
112327,"Loose Leif Crispy Faded",TUN-2024-Q1-001,112327-L32-W27,07311131702736,"Item: 112327-L32-W27 | Supplier: 10031"
112327,"Loose Leif Crispy Faded",TUN-2024-Q1-001,112327-L32-W28,07311131702774,"Item: 112327-L32-W28 | Supplier: 10031"
112327,"Loose Leif Crispy Faded",TUN-2024-Q1-001,112327-L32-W30,07311131702859,"Item: 112327-L32-W30 | Supplier: 10031"
112327,"Loose Leif Crispy Faded",TUN-2024-Q1-001,112327-L32-W31,07311131702897,"Item: 112327-L32-W31 | Supplier: 10031"
112327,"Loose Leif Crispy Faded",TUN-2024-Q1-001,112327-L32-W32,07311131702934,"Item: 112327-L32-W32 | Supplier: 10031"
112327,"Loose Leif Crispy Faded",TUN-2024-Q1-001,112327-L32-W33,07311131702972,"Item: 112327-L32-W33 | Supplier: 10031"
112327,"Loose Leif Crispy Faded",TUN-2024-Q1-001,112327-L32-W34,07311131703016,"Item: 112327-L32-W34 | Supplier: 10031"
112327,"Loose Leif Crispy Faded",TUN-2024-Q1-001,112327-L32-W36,07311131703054,"Item: 112327-L32-W36 | Supplier: 10031"
112327,"Loose Leif Crispy Faded",TUN-2024-Q1-001,112327-L32-W38,07311131703092,"Item: 112327-L32-W38 | Supplier: 10031"
112327,"Loose Leif Crispy Faded",TUN-2024-Q1-001,112327-L34-W24,07311131702620,"Item: 112327-L34-W24 | Supplier: 10031"
112327,"Loose Leif Crispy Faded",TUN-2024-Q1-001,112327-L34-W25,07311131702668,"Item: 112327-L34-W25 | Supplier: 10031"
112327,"Loose Leif Crispy Faded",TUN-2024-Q1-001,112327-L34-W26,07311131702705,"Item: 112327-L34-W26 | Supplier: 10031"
112327,"Loose Leif Crispy Faded",TUN-2024-Q1-001,112327-L34-W27,07311131702743,"Item: 112327-L34-W27 | Supplier: 10031"
