style_id,product_name,batch_id,item_number,gtin,product_type,size_value_1,size_value_2,notes
3,"Raw Hem T-Shirt Stub",1,131274-B01-001,07311131312045,tshirt,XS,B01,"Size XS | Color B01"
3,"Raw Hem T-Shirt Stub",1,131274-B01-002,07311131312052,tshirt,S,B01,"Size S | Color B01"
3,"Raw Hem T-Shirt Stub",1,131274-B01-003,07311131312069,tshirt,M,B01,"Size M | Color B01"
3,"Raw Hem T-Shirt Stub",1,131274-B01-004,07311131312076,tshirt,L,B01,"Size L | Color B01"
3,"Raw Hem T-Shirt Stub",1,131274-B01-005,07311131312083,tshirt,XL,B01,"Size XL | Color B01"
3,"Raw Hem T-Shirt Stub",1,131274-B02-001,07311131312090,tshirt,XS,B02,"Size XS | Color B02"
3,"Raw Hem T-Shirt Stub",1,131274-B02-002,07311131312106,tshirt,S,B02,"Size S | Color B02"
3,"Raw Hem T-Shirt Stub",1,131274-B02-003,07311131312113,tshirt,M,B02,"Size M | Color B02"
3,"Raw Hem T-Shirt Stub",1,131274-B02-004,07311131312120,tshirt,L,B02,"Size L | Color B02"
3,"Raw Hem T-Shirt Stub",1,131274-B02-005,07311131312137,tshirt,XL,B02,"Size XL | Color B02"
